DateExecuted,Type,MarketName,ContractName,Shares,Price,ProfitLoss,Fees,Risk,CreditDebit,URL
6/25/2019 8:38 PM,Buy Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,125,$0.94,$0.00,$0.000,($117.500),($117.500),https://www.predictit.org/markets/detail/5614
6/25/2019 6:16 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,75,$0.59,$0.00,$0.000,$27.675,$27.675,https://www.predictit.org/markets/detail/5617
6/25/2019 6:16 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,28,$0.58,$0.00,$0.000,$10.584,$10.584,https://www.predictit.org/markets/detail/5617
6/25/2019 6:15 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,22,$0.58,$0.00,$0.000,$8.316,$8.316,https://www.predictit.org/markets/detail/5617
6/25/2019 5:53 PM,Buy No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,140-149,49,$0.59,$0.00,$0.000,$18.081,$18.081,https://www.predictit.org/markets/detail/5617
6/25/2019 5:45 PM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,22,$0.93,$0.22,($0.022),$20.240,$20.438,https://www.predictit.org/markets/detail/5614
6/25/2019 5:45 PM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,64,$0.93,$1.03,($0.103),$58.490,$59.417,https://www.predictit.org/markets/detail/5614
6/25/2019 5:45 PM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 19 to noon June 26?,99-,76,$0.94,$2.03,($0.203),$69.410,$71.237,https://www.predictit.org/markets/detail/5614
6/25/2019 5:42 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,14,$0.95,$0.28,($0.028),($0.882),($0.630),https://www.predictit.org/markets/detail/5617
6/25/2019 5:42 PM,Sell No,How many tweets will @whitehouse post from noon June 20 to noon June 27?,170-179,189,$0.95,$0.28,($0.028),($8.757),($8.505),https://www.predictit.org/markets/detail/5617
